;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2020;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2021;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1118;1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;Principal;1;OFICIAL;4;Universidad;27;Chocó;27001;Quibdó;2020;1;127;25;60;32;244
1118;1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;Principal;1;OFICIAL;4;Universidad;27;Chocó;27001;Quibdó;2020;2;127;25;60;32;244
1119;1119;UNIVERSIDAD DE LOS LLANOS;Principal;1;OFICIAL;4;Universidad;50;Meta;50001;Villavicencio;2020;1;53;14;15;24;106
1119;1119;UNIVERSIDAD DE LOS LLANOS;Principal;1;OFICIAL;4;Universidad;50;Meta;50001;Villavicencio;2020;2;53;14;15;24;106
1121;1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;91;24;25;20;160
1121;1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;87;22;18;21;148
1122;1122;UNIVERSIDAD DEL PACIFICO;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76109;Buenaventura;2020;1;35;0;107;15;157
1122;1122;UNIVERSIDAD DEL PACIFICO;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76109;Buenaventura;2020;2;35;0;107;15;157
1124;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;81;Arauca;81001;Arauca;2020;1;3;2;4;4;13
1124;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;81;Arauca;81001;Arauca;2020;2;3;2;4;4;13
1125;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;91;Amazonas;91001;Leticia;2020;1;3;3;4;3;13
1125;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;91;Amazonas;91001;Leticia;2020;2;3;3;4;3;13
1126;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;88;Archipiélago de San Andrés, Providencia y Santa Catalina;88001;San Andrés;2020;1;1;1;3;4;9
1126;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;88;Archipiélago de San Andrés, Providencia y Santa Catalina;88001;San Andrés;2020;2;1;1;3;4;9
1201;1201;UNIVERSIDAD DE ANTIOQUIA;Principal;1;OFICIAL;4;Universidad;05;Antioquia;05001;Medellín;2020;1;820;150;589;177;1736
1201;1201;UNIVERSIDAD DE ANTIOQUIA;Principal;1;OFICIAL;4;Universidad;05;Antioquia;05001;Medellín;2020;2;820;150;589;177;1736
1202;1202;UNIVERSIDAD DEL ATLANTICO;Principal;1;OFICIAL;4;Universidad;08;Atlántico;08001;Barranquilla;2020;1;65;58;81;39;243
1202;1202;UNIVERSIDAD DEL ATLANTICO;Principal;1;OFICIAL;4;Universidad;08;Atlántico;08001;Barranquilla;2020;2;64;58;81;39;242
1203;1203;UNIVERSIDAD DEL VALLE;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76001;Cali;2020;1;469;520;320;9;1318
1203;1203;UNIVERSIDAD DEL VALLE;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76001;Cali;2020;2;469;520;320;9;1318
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;Principal;1;OFICIAL;4;Universidad;68;Santander;68001;Bucaramanga;2020;1;468;123;418;101;1110
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;Principal;1;OFICIAL;4;Universidad;68;Santander;68001;Bucaramanga;2020;2;454;118;394;100;1066
1205;1205;UNIVERSIDAD DE CARTAGENA;Principal;1;OFICIAL;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2020;1;408;182;191;126;907
1205;1205;UNIVERSIDAD DE CARTAGENA;Principal;1;OFICIAL;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2020;2;187;401;168;44;800
1206;1206;UNIVERSIDAD DE NARI¿O;Principal;1;OFICIAL;4;Universidad;52;Nariño;52001;Pasto;2020;1;393;98;257;42;790
1206;1206;UNIVERSIDAD DE NARI¿O;Principal;1;OFICIAL;4;Universidad;52;Nariño;52001;Pasto;2020;2;393;98;257;42;790
1207;1207;UNIVERSIDAD DEL TOLIMA;Principal;1;OFICIAL;4;Universidad;73;Tolima;73001;Ibagué;2020;1;196;118;112;71;497
1207;1207;UNIVERSIDAD DEL TOLIMA;Principal;1;OFICIAL;4;Universidad;73;Tolima;73001;Ibagué;2020;2;196;118;112;71;497
