"codigo.de..la.institucion","ies.padre","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","id.caracter.ies","caracter.ies","codigo.del..departamento..ies.","departamento.de..domicilio.de.la.ies","codigo.del..municipio..ies.","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
1111,1111,"universidad tecnologica de pereira - utp","principal",1,"oficial",3,"universidad",66,"risaralda",66001,"pereira",2014,1,254,21,113,24,412
1110,1110,"universidad del cauca","principal",1,"oficial",3,"universidad",19,"cauca",19001,"popayan",2014,1,279,160,96,23,558
3301,3301,"institucion universitaria antonio jose camacho","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76001,"cali",2014,1,57,91,80,29,257
1119,1119,"universidad de los llanos","principal",1,"oficial",3,"universidad",50,"meta",50001,"villavicencio",2014,1,77,0,23,12,112
1114,1114,"universidad surcolombiana","principal",1,"oficial",3,"universidad",41,"huila",41001,"neiva",2014,1,134,49,45,18,246
2302,2302,"institucion universitaria de envigado","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5266,"envigado",2014,1,21,14,32,29,96
2301,2301,"unidad central del valle del cauca","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76834,"tulua",2014,1,69,0,19,20,108
1201,1201,"universidad de antioquia","principal",1,"oficial",3,"universidad",5,"antioquia",5001,"medellin",2014,1,646,150,426,179,1401
2106,2106,"direccion nacional de escuelas","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
1209,1209,"universidad francisco de paula santander","principal",1,"oficial",3,"universidad",54,"norte de santander",54001,"cucuta",2014,1,172,45,122,7,346
9104,9104,"escuela militar de cadetes general jose maria cordova","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,41,7,77,3,128
1216,1214,"universidad de cundinamarca-udec","seccional",1,"oficial",3,"universidad",25,"cundinamarca",25843,"villa de san diego de ubate",2014,1,14,3,4,1,22
9110,9110,"servicio nacional de aprendizaje-sena-","principal",1,"oficial",3,"institucion tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,1000,677,904,142,2723
2902,2902,"escuela de logistica","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,2,3,50,5,60
1301,1301,"universidad distrital-francisco jose de caldas","principal",1,"oficial",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,140,44,41,32,257
1107,1106,"universidad pedagogica y tecnologica de colombia - uptc","seccional",1,"oficial",3,"universidad",15,"boyaca",15238,"duitama",2014,1,24,17,6,1,48
1112,1112,"universidad de caldas","principal",1,"oficial",3,"universidad",17,"caldas",17001,"manizales",2014,1,171,70,60,21,322
9108,9108,"instituto caro y cuervo","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
9102,9102,"escuela de suboficiales de la fuerza aerea colombiana andres m. diaz","principal",1,"oficial",3,"institucion tecnologica",25,"cundinamarca",25430,"madrid",2014,1,0,0,0,0,0
1212,1212,"universidad de pamplona","principal",1,"oficial",3,"universidad",54,"norte de santander",54518,"pamplona",2014,1,190,0,69,79,338
2207,2207,"instituto universitario de la paz","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",68,"santander",68081,"barrancabermeja",2014,1,14,1,8,13,36
1207,1207,"universidad del tolima","principal",1,"oficial",3,"universidad",73,"tolima",73001,"ibague",2014,1,213,154,154,76,597
2104,2104,"escuela superior de administracion publica-esap-","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
2110,2110,"colegio mayor de antioquia","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,24,0,7,4,35
1219,1201,"universidad de antioquia","seccional",1,"oficial",3,"universidad",5,"antioquia",5148,"el carmen de viboral",2014,1,3,1,2,1,7
1109,1106,"universidad pedagogica y tecnologica de colombia - uptc","seccional",1,"oficial",3,"universidad",15,"boyaca",15176,"chiquinquira",2014,1,6,2,3,1,12
4107,4107,"instituto tecnico agricola ita","principal",1,"oficial",3,"institucion tecnica profesional",76,"valle del cauca",76111,"guadalajara de buga",2014,1,9,5,7,3,24
1205,1205,"universidad de cartagena","principal",1,"oficial",3,"universidad",13,"bolivar",13001,"cartagena",2014,1,408,135,109,118,770
3103,3103,"colegio mayor de bolivar","principal",1,"oficial",3,"institucion tecnologica",13,"bolivar",13001,"cartagena",2014,1,5,10,6,6,27
1123,1120,"universidad popular del cesar","seccional",1,"oficial",3,"universidad",20,"cesar",20011,"aguachica",2014,1,0,0,0,0,0
2111,2104,"escuela superior de administracion publica-esap-","seccional",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,0,0,0,0,0
4112,4112,"colegio integrado nacional oriente de caldas - ies cinoc","principal",1,"oficial",3,"institucion tecnica profesional",17,"caldas",17541,"pensilvania",2014,1,8,2,5,3,18
1108,1106,"universidad pedagogica y tecnologica de colombia - uptc","seccional",1,"oficial",3,"universidad",15,"boyaca",15759,"sogamoso",2014,1,21,15,8,0,44
3102,3102,"instituto superior de educacion rural-iser-","principal",1,"oficial",3,"institucion tecnologica",54,"norte de santander",54518,"pamplona",2014,1,30,2,28,3,63
3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,54,19,76,49,198
1221,1201,"universidad de antioquia","seccional",1,"oficial",3,"universidad",5,"antioquia",5154,"caucasia",2014,1,1,1,2,1,5
1222,1201,"universidad de antioquia","seccional",1,"oficial",3,"universidad",5,"antioquia",5579,"puerto berrio",2014,1,1,0,0,1,2
1203,1203,"universidad del valle","principal",1,"oficial",3,"universidad",76,"valle del cauca",76001,"cali",2014,1,496,489,339,5,1329
1206,1206,"universidad de narino","principal",1,"oficial",3,"universidad",52,"narino",52001,"pasto",2014,1,455,70,184,34,743
3115,3115,"instituto tecnologico del putumayo","principal",1,"oficial",3,"institucion tecnologica",86,"putumayo",86001,"mocoa",2014,1,11,0,5,2,18
1117,1117,"universidad militar-nueva granada","principal",1,"oficial",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,21,304,109,26,460
1202,1202,"universidad del atlantico","principal",1,"oficial",3,"universidad",8,"atlantico",8001,"barranquilla",2014,1,0,0,0,0,0
3117,3117,"instituto tecnologico de soledad atlantico","principal",1,"oficial",3,"institucion tecnologica",8,"atlantico",8758,"soledad",2014,1,8,4,64,4,80
4111,4111,"instituto nacional de formacion tecnica profesional - humberto velasquez garcia","principal",1,"oficial",3,"institucion tecnica profesional",47,"magdalena",47189,"cienaga",2014,1,0,0,0,0,0
