"codigo.del..municipio..ies.","codigo.del..departamento..ies.","id.caracter.ies","ies.padre","codigo.de..la.institucion","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","caracter.ies","departamento.de..domicilio.de.la.ies","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
5001,5,3,2838,2838,"corporacion colegiatura colombiana","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2018,1,16,26,58,6,106
5001,5,3,2736,2736,"fundacion universitaria seminario biblico de colombia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,7,8,14,4,33
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,47,26,49,25,147
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,5,5,7,1,18
5001,5,3,2209,2209,"politecnico colombiano jaime isaza cadavid","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,1,146,24,90,24,284
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,162,19,29,5,215
5001,5,3,2747,2747,"fundacion universitaria autonoma de las americas","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,92,51,41,3,187
5001,5,3,3807,3807,"escuela de tecnologias de antioquia -eta-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,2,1,1,2,6
5001,5,4,2708,2708,"universidad ces","principal",2,"privada","universidad","antioquia","medellin",2018,1,140,131,121,17,409
5001,5,4,1812,1812,"universidad de medellin","principal",2,"privada","universidad","antioquia","medellin",2020,1,177,13,89,40,319
5001,5,3,3720,3720,"fundacion universitaria esumer","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,1,19,149,36,14,218
5001,5,4,1812,1812,"universidad de medellin","principal",2,"privada","universidad","antioquia","medellin",2016,1,178,25,86,37,326
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,18,1,14,3,36
5001,5,4,1812,1812,"universidad de medellin","principal",2,"privada","universidad","antioquia","medellin",2015,2,163,24,952,37,1.176
5001,5,4,2719,2719,"universidad catolica luis amigo-funlam","principal",2,"privada","universidad","antioquia","medellin",2020,2,100,38,42,43,223
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,4,1,1,0,6
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,3,0,2,1,6
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,10,25,46,8,89
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,10,3,10,8,31
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,2,0,0,1,3
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,18,4,16,3,41
5001,5,3,3720,3720,"fundacion universitaria esumer","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,0,0,0,0,0
5001,5,3,2104,2111,"escuela superior de administracion publica-esap-","seccional",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,0,0,0,0,0
5001,5,3,9900,9900,"corporacion universitaria u de colombia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,8,8,10,2,28
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,13,2,5,9,29
5001,5,4,1718,1717,"universidad de san buenaventura","seccional",2,"privada","universidad","antioquia","medellin",2019,2,108,6,66,31,211
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,90,14,61,16,181
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2017,2,0,0,1,1,2
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,1,0,2,1,4
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,5,5,7,1,18
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,48,9,48,6,111
5001,5,2,3807,3807,"escuela de tecnologias de antioquia -eta-","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,1,0,0,0,1,1
5001,5,3,9120,9120,"fundacion universitaria bellas artes","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,5,7,10,13,35
5001,5,3,2209,2209,"politecnico colombiano jaime isaza cadavid","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,0,0,0,0,0
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,2,1,1,1,1,4
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,9,1,1,0,11
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,56,15,77,53,201
5001,5,3,2209,2209,"politecnico colombiano jaime isaza cadavid","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,160,28,98,25,311
5001,5,3,9927,9927,"institucion universitaria digital de antioquia -iu. digital","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,1,1,19,7,28
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,9,1,1,0,11
