;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2018;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Tecnico;Profesional;Directivo;Total
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;PRINCIPAL;1;OFICIAL;4;Universidad;68;SANTANDER;68001;BUCARAMANGA;2018;1;330;150;519;101;1100
1205;1205;UNIVERSIDAD DE CARTAGENA;PRINCIPAL;1;OFICIAL;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2018;1;179;390;173;129;871
1205;1205;UNIVERSIDAD DE CARTAGENA;PRINCIPAL;1;OFICIAL;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2018;2;181;392;179;126;878
1206;1206;UNIVERSIDAD DE NARIÃ‘O;PRINCIPAL;1;OFICIAL;4;Universidad;52;NARIÃ‘O;52001;PASTO;2018;1;472;82;117;36;707
1206;1206;UNIVERSIDAD DE NARIÃ‘O;PRINCIPAL;1;OFICIAL;4;Universidad;52;NARIÃ‘O;52001;PASTO;2018;2;397;75;264;46;782
1207;1207;UNIVERSIDAD DEL TOLIMA;PRINCIPAL;1;OFICIAL;4;Universidad;73;TOLIMA;73001;IBAGUE;2018;1;209;136;126;78;549
1207;1207;UNIVERSIDAD DEL TOLIMA;PRINCIPAL;1;OFICIAL;4;Universidad;73;TOLIMA;73001;IBAGUE;2018;2;200;124;115;79;518
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;PRINCIPAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54001;CUCUTA;2018;1;234;4;110;7;355
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;PRINCIPAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54001;CUCUTA;2018;2;240;4;119;5;368
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;SECCIONAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54498;OCA?A;2018;1;112;27;235;10;384
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;SECCIONAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54498;OCA?A;2018;2;124;27;201;10;362
1212;1212;UNIVERSIDAD DE PAMPLONA;PRINCIPAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54518;PAMPLONA;2018;1;92;100;67;78;337
1212;1212;UNIVERSIDAD DE PAMPLONA;PRINCIPAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54518;PAMPLONA;2018;2;92;100;67;78;337
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;PRINCIPAL;1;OFICIAL;4;Universidad;47;MAGDALENA;47001;SANTA MARTA;2018;1;1;123;111;58;293
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;PRINCIPAL;1;OFICIAL;4;Universidad;47;MAGDALENA;47001;SANTA MARTA;2018;2;1;101;132;57;291
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;PRINCIPAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25290;FUSAGASUGA;2018;1;181;103;83;40;407
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;PRINCIPAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25290;FUSAGASUGA;2018;2;181;103;83;40;407
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25307;GIRARDOT;2018;1;45;7;8;1;61
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25307;GIRARDOT;2018;2;45;7;8;1;61
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25843;UBATE;2018;1;16;5;9;1;31
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25843;UBATE;2018;2;16;5;9;1;31
1218;1218;UNIVERSIDAD DE LA GUAJIRA;PRINCIPAL;1;OFICIAL;4;Universidad;44;GUAJIRA;44001;RIOHACHA;2018;1;58;24;32;59;173
1218;1218;UNIVERSIDAD DE LA GUAJIRA;PRINCIPAL;1;OFICIAL;4;Universidad;44;GUAJIRA;44001;RIOHACHA;2018;2;58;24;32;59;173
1219;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5148;CARMEN DE VIBORAL;2018;1;5;0;2;1;8
1219;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5148;CARMEN DE VIBORAL;2018;2;5;0;2;1;8
1220;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5034;ANDES;2018;1;1;0;1;1;3
1220;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5034;ANDES;2018;2;1;0;1;1;3
1221;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5154;CAUCASIA;2018;1;3;1;2;1;7
1221;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5154;CAUCASIA;2018;2;3;1;2;1;7
1222;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5579;PUERTO BERRIO;2018;1;1;0;1;1;3
1222;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5579;PUERTO BERRIO;2018;2;1;0;1;1;3
1223;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5837;TURBO;2018;1;2;0;1;1;4
1223;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5837;TURBO;2018;2;2;0;1;1;4
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;814;223;836;32;1905
