;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2019;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
2847;2847;CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;81;25;72;34;212
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLÍN;2019;2;15;3;22;7;47
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLÍN;2019;2;33;19;20;13;85
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLÍN;2019;2;90;14;61;16;181
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLÍN;2019;2;12;0;7;7;26
4835;4835;CORPORACION UNIVERSITARIA TALLER CINCO CENTRO DE DISE¿O;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;2;8;13;35;4;60
1808;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;8;ATLÁNTICO;8001;BARRANQUILLA;2019;1;2;0;0;1;3
2106;2106;DIRECCION NACIONAL DE ESCUELAS;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;9;36;56;18;119
2106;2106;DIRECCION NACIONAL DE ESCUELAS;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;24;104;100;71;299
2106;2106;DIRECCION NACIONAL DE ESCUELAS;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;36;29;60;16;141
9128;9128;LCI - FUNDACION TECNOLOGICA;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;2;2;3;6;4;15
2106;2106;DIRECCION NACIONAL DE ESCUELAS;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;2;0;16;3;1;20
1822;1815;CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;25;CUNDINAMARCA;25307;GIRARDOT;2019;2;0;0;7;7;14
4109;4109;INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ - INTENALCO;PRINCIPAL;1;OFICIAL;1;INSTITUCIÓN TÉCNICA PROFESIONAL;76;VALLE DEL CAUCA;76001;CALI;2019;1;13;3;16;8;40
3809;3809;INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;2;2;9;3;16
3104;3104;COLEGIO MAYOR DEL CAUCA;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;19;CAUCA;19001;POPAYÁN;2019;1;14;4;9;6;33
