;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2021;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2022;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Carácter IES;Carácter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1118;1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;Principal;1;OFICIAL;4;Universidad;27;Chocó;27001;Quibdó;2021;1;127;25;60;32;244
1118;1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;Principal;1;OFICIAL;4;Universidad;27;Chocó;27001;Quibdó;2021;2;127;25;60;32;244
1119;1119;UNIVERSIDAD DE LOS LLANOS;Principal;1;OFICIAL;4;Universidad;50;Meta;50001;Villavicencio;2021;1;53;14;11;24;102
1119;1119;UNIVERSIDAD DE LOS LLANOS;Principal;1;OFICIAL;4;Universidad;50;Meta;50001;Villavicencio;2021;2;53;14;11;24;102
1121;1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;87;22;18;21;148
1121;1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;85;18;25;16;144
1122;1122;UNIVERSIDAD DEL PACIFICO;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76109;Buenaventura;2021;1;35;0;107;15;157
1122;1122;UNIVERSIDAD DEL PACIFICO;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76109;Buenaventura;2021;2;35;0;107;15;157
1124;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;81;Arauca;81001;Arauca;2021;1;2;2;4;4;12
1124;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;81;Arauca;81001;Arauca;2021;2;3;2;4;4;13
1125;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;91;Amazonas;91001;Leticia;2021;1;3;3;5;3;14
1125;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;91;Amazonas;91001;Leticia;2021;2;3;3;5;3;14
1126;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;88;Archipiélago de San Andrés, Providencia y Santa Catalina;88001;San Andrés;2021;1;1;1;3;4;9
1126;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;88;Archipiélago de San Andrés, Providencia y Santa Catalina;88001;San Andrés;2021;2;1;1;3;3;8
1201;1201;UNIVERSIDAD DE ANTIOQUIA;Principal;1;OFICIAL;4;Universidad;5;Antioquia;5001;Medellín;2021;1;820;150;589;177;1736
1201;1201;UNIVERSIDAD DE ANTIOQUIA;Principal;1;OFICIAL;4;Universidad;5;Antioquia;5001;Medellín;2021;2;820;150;589;177;1736
1202;1202;UNIVERSIDAD DEL ATLANTICO;Principal;1;OFICIAL;4;Universidad;8;Atlántico;8573;Puerto Colombia;2021;1;24;58;83;38;203
1203;1203;UNIVERSIDAD DEL VALLE;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76001;Cali;2021;1;462;510;318;10;1300
1203;1203;UNIVERSIDAD DEL VALLE;Principal;1;OFICIAL;4;Universidad;76;Valle del Cauca;76001;Cali;2021;2;464;502;317;11;1294
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;Principal;1;OFICIAL;4;Universidad;68;Santander;68001;Bucaramanga;2021;1;444;115;389;101;1049
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;Principal;1;OFICIAL;4;Universidad;68;Santander;68001;Bucaramanga;2021;2;439;112;370;100;1021
1205;1205;UNIVERSIDAD DE CARTAGENA;Principal;1;OFICIAL;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2021;1;419;61;159;62;701
1205;1205;UNIVERSIDAD DE CARTAGENA;Principal;1;OFICIAL;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2021;2;370;157;164;126;817
1206;1206;UNIVERSIDAD DE NARIÑO;Principal;1;OFICIAL;4;Universidad;52;Nariño;52001;Pasto;2021;1;374;85;468;44;971
1206;1206;UNIVERSIDAD DE NARIÑO;Principal;1;OFICIAL;4;Universidad;52;Nariño;52001;Pasto;2021;2;368;92;430;44;934
1207;1207;UNIVERSIDAD DEL TOLIMA;Principal;1;OFICIAL;4;Universidad;73;Tolima;73001;Ibagué;2021;1;196;118;112;71;497
1207;1207;UNIVERSIDAD DEL TOLIMA;Principal;1;OFICIAL;4;Universidad;73;Tolima;73001;Ibagué;2021;2;196;118;112;71;497
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54001;San José de Cúcuta;2021;1;129;3;74;7;213
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54001;San José de Cúcuta;2021;2;147;3;83;11;244
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Seccional;1;OFICIAL;4;Universidad;54;Norte de Santander;54498;Ocaña;2021;1;130;8;252;6;396
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Seccional;1;OFICIAL;4;Universidad;54;Norte de Santander;54498;Ocaña;2021;2;177;17;268;6;468
1212;1212;UNIVERSIDAD DE PAMPLONA;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54518;Pamplona;2021;1;83;98;38;39;258
1212;1212;UNIVERSIDAD DE PAMPLONA;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54518;Pamplona;2021;2;83;98;38;39;258
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;Principal;1;OFICIAL;4;Universidad;47;Magdalena;47001;Santa Marta;2021;1;1;103;136;58;298
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;Principal;1;OFICIAL;4;Universidad;47;Magdalena;47001;Santa Marta;2021;2;1;103;135;60;299
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Principal;1;OFICIAL;4;Universidad;25;Cundinamarca;25290;Fusagasugá;2021;1;154;114;83;38;389
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Principal;1;OFICIAL;4;Universidad;25;Cundinamarca;25290;Fusagasugá;2021;2;169;134;88;40;431
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25307;Girardot;2021;1;31;8;8;1;48
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25307;Girardot;2021;2;36;9;8;1;54
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25843;Villa de San Diego de Ubaté;2021;1;15;3;10;1;29
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25843;Villa de San Diego de Ubaté;2021;2;16;5;11;1;33
1217;1217;UNIVERSIDAD DE SUCRE;Principal;1;OFICIAL;4;Universidad;70;Sucre;70001;Sincelejo;2021;1;130;15;25;40;210
1217;1217;UNIVERSIDAD DE SUCRE;Principal;1;OFICIAL;4;Universidad;70;Sucre;70001;Sincelejo;2021;2;0;0;0;0;0
1218;1218;UNIVERSIDAD DE LA GUAJIRA;Principal;1;OFICIAL;4;Universidad;44;La Guajira;44001;Riohacha;2021;1;74;80;62;61;277
1218;1218;UNIVERSIDAD DE LA GUAJIRA;Principal;1;OFICIAL;4;Universidad;44;La Guajira;44001;Riohacha;2021;2;74;97;42;60;273
1219;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5148;El Carmen de Viboral;2021;1;5;0;2;1;8
1219;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5148;El Carmen de Viboral;2021;2;5;0;2;1;8
1220;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5034;Andes;2021;1;1;0;1;1;3
1220;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5034;Andes;2021;2;1;0;1;1;3
1221;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5154;Caucasia;2021;1;3;1;2;1;7
1221;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5154;Caucasia;2021;2;3;1;2;1;7
1222;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5579;Puerto Berrío;2021;1;1;0;1;1;3
1222;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5579;Puerto Berrío;2021;2;1;0;1;1;3
1223;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5837;Turbo;2021;2;2;0;1;1;4
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;777;39;913;214;1943
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;767;202;919;38;1926
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2021;1;37;269;293;91;690
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2021;2;37;269;293;91;690
1704;1704;UNIVERSIDAD SANTO TOMAS;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;219;150;157;190;716
1704;1704;UNIVERSIDAD SANTO TOMAS;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;321;155;227;128;831
1705;1704;UNIVERSIDAD SANTO TOMAS;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2021;1;350;15;103;49;517
1705;1704;UNIVERSIDAD SANTO TOMAS;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2021;2;350;15;103;49;517
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;295;90;442;53;880
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;298;86;462;57;903
1707;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;0;178;216;34;428
1707;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;0;178;216;34;428
1708;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Seccional;2;PRIVADA;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2021;1;0;178;216;34;428
1709;1709;UNIVERSIDAD CENTRAL;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;175;71;196;51;493
1709;1709;UNIVERSIDAD CENTRAL;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;176;72;209;51;508
1710;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Principal;2;PRIVADA;4;Universidad;5;Antioquia;5001;Medellín;2021;1;239;35;450;110;834
1710;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Principal;2;PRIVADA;4;Universidad;5;Antioquia;5001;Medellín;2021;2;337;93;253;100;783
1711;1711;UNIVERSIDAD DE LA SABANA;Principal;2;PRIVADA;4;Universidad;25;Cundinamarca;25175;Chía;2021;1;304;273;441;83;1101
1711;1711;UNIVERSIDAD DE LA SABANA;Principal;2;PRIVADA;4;Universidad;25;Cundinamarca;25175;Chía;2021;2;278;263;416;83;1040
1712;1712;UNIVERSIDAD EAFIT-;Principal;2;PRIVADA;4;Universidad;5;Antioquia;5001;Medellín;2021;1;410;48;1507;354;2319
1712;1712;UNIVERSIDAD EAFIT-;Principal;2;PRIVADA;4;Universidad;5;Antioquia;5001;Medellín;2021;2;321;83;877;17;1298
1713;1713;UNIVERSIDAD DEL NORTE;Principal;2;PRIVADA;4;Universidad;8;Atlántico;8001;Barranquilla;2021;1;417;170;498;40;1125
1713;1713;UNIVERSIDAD DEL NORTE;Principal;2;PRIVADA;4;Universidad;8;Atlántico;8001;Barranquilla;2021;2;417;170;498;40;1125
1714;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;442;34;482;28;986
1714;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;447;68;493;46;1054
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;12;18;45;30;105
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;31;12;53;32;128
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2021;1;53;189;359;41;642
