MINISTERIO DE EDUCACION NACIONAL;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2015;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: 16 de mayo de 2016;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las instituciones a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";Id Sector IES;Sector IES;Id Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Servicios;Profesional;Directivo;Total
9125;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5042;SANTAFE DE ANTIOQUIA;2015;1;1;0;1;1;3
1223;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5837;TURBO;2015;1;1;0;0;1;2
1220;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5034;ANDES;2015;2;1;0;1;1;3
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLIN;2015;2;649;141;490;166;1.446
1219;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;2015;2;5;0;2;1;8
1221;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5154;CAUCASIA;2015;2;2;1;2;1;6
1222;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5579;PUERTO BERRIO;2015;2;1;0;0;1;2
9125;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5042;SANTAFE DE ANTIOQUIA;2015;2;1;0;1;1;3
1223;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5837;TURBO;2015;2;1;0;0;1;2
1203;1203;UNIVERSIDAD DEL VALLE;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;1;480;500;330;6;1.316
1203;1203;UNIVERSIDAD DEL VALLE;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;2;463;500;337;4;1.304
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2015;1;476;171;375;91;1.113
